[2022-09-07T08:21:49.264613+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2022-09-07T08:21:49.313700+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Selamat Datang di Krisna Beaute [] []
[2022-09-07T08:21:49.313770+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Ini Informasi Aplikasi Logging [] []
[2022-09-07T08:24:24.302460+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2022-09-07T08:24:24.303769+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Selamat Datang di Krisna Beaute [] []
[2022-09-07T08:24:24.303812+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Ini Informasi Aplikasi Logging [] []
[2022-09-07T08:40:57.357060+02:00] KrisnaBeaute\BelajarPhpMvc\LevelTest.DEBUG: This is Debug [] []
[2022-09-07T08:40:57.358479+02:00] KrisnaBeaute\BelajarPhpMvc\LevelTest.INFO: This is Info [] []
[2022-09-07T08:40:57.358513+02:00] KrisnaBeaute\BelajarPhpMvc\LevelTest.NOTICE: This is Notice [] []
[2022-09-07T08:40:57.358536+02:00] KrisnaBeaute\BelajarPhpMvc\LevelTest.WARNING: This is Warning [] []
[2022-09-07T08:40:57.358587+02:00] KrisnaBeaute\BelajarPhpMvc\LevelTest.ERROR: This is Error [] []
[2022-09-07T08:40:57.358928+02:00] KrisnaBeaute\BelajarPhpMvc\LevelTest.CRITICAL: This is Critical [] []
[2022-09-07T08:40:57.358993+02:00] KrisnaBeaute\BelajarPhpMvc\LevelTest.ALERT: This is Alert [] []
[2022-09-07T08:40:57.359045+02:00] KrisnaBeaute\BelajarPhpMvc\LevelTest.EMERGENCY: This is Emergency [] []
[2022-09-07T09:28:23.577780+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-0 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.632828+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-1 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.632889+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-2 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.632928+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-3 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.632964+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-4 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.632999+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-5 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633033+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-6 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633067+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-7 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633101+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-8 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633135+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-9 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633169+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-10 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633204+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-11 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633505+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-12 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633557+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-13 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633596+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-14 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633634+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-15 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633669+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-16 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633704+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-17 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633738+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-18 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633773+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-19 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633812+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-20 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633846+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-21 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633880+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-22 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633914+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-23 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633948+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-24 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.633982+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-25 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634016+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-26 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634050+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-27 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634084+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-28 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634118+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-29 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634152+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-30 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634212+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-31 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634249+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-32 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634284+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-33 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634317+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-34 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634351+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-35 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634385+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-36 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634419+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-37 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634453+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-38 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634487+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-39 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634521+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-40 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634558+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-41 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634593+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-42 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.634628+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-43 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
